pin,address,lat,lon
16051030290000,138 LE MOYNE PKWY,41.90769554,-87.77995759
16051030300000,134 LE MOYNE PKWY,41.90769765,-87.77982601
16051030310000,130 LE MOYNE PKWY,41.90769424,-87.77968684
16051030320000,6129 W NORTH AVE,41.90882955,-87.77988611
16051040050000,6111 W NORTH AVE,41.90893237,-87.77886265
16051040060000,6109 W NORTH AVE,41.90901349,-87.77879974
16051040070000,1239 N TAYLOR AVE,41.90888218,-87.77842089
16051040080000,1230 N HAYES AVE,41.90863266,-87.77920122
16051040090000,1228 N HAYES AVE,41.90854811,-87.77918433
16051040100000,1226 N HAYES AVE,41.90846391,-87.77918506
16051040110000,1222 N HAYES AVE,41.90836006,-87.77919476
16051040120000,1220 N HAYES AVE,41.90827552,-87.77917787
16051040130000,1218 N HAYES AVE,41.90817819,-87.77919634
16051040140000,1214 N HAYES AVE,41.9080807,-87.77917956
16051040150000,1212 N HAYES AVE,41.90798341,-87.77915456
16051040160000,1231 N TAYLOR AVE,41.90865516,-87.77849622
16051040170000,1229 N TAYLOR AVE,41.90855127,-87.77849712
16051040180000,1227 N TAYLOR AVE,41.90845411,-87.77849796
16051040190000,1225 N TAYLOR AVE,41.90840239,-87.7783838
16051040200000,1221 N TAYLOR AVE,41.90827864,-87.77848245
16051040210000,1219 N TAYLOR AVE,41.90818106,-87.77844806
16051040220000,1215 N TAYLOR AVE,41.90809017,-87.77845765
16051040230000,1213 N TAYLOR AVE,41.907993,-87.77845849
16051040240000,122 LE MOYNE PKWY,41.90770176,-87.77928503
16051040250000,118 LE MOYNE PKWY,41.90768432,-87.77907845
16051040260000,114 LE MOYNE PKWY,41.90770935,-87.77889557
16051040270000,110 LE MOYNE PKWY,41.90770868,-87.77875697
16051040280000,108 LE MOYNE PKWY,41.90773408,-87.77865221
16051040290000,104 LE MOYNE PKWY,41.90772046,-87.77851313
16051040300000,102 LE MOYNE PKWY,41.90771991,-87.77839978
16051040310000,6115 W NORTH AVE,41.90890141,-87.77921062
16051050010000,1238 N TAYLOR AVE,41.9088874,-87.77803968
16051050080000,6035 W NORTH AVE,41.90900467,-87.77744398
16051050090000,6031 W NORTH AVE,41.90900587,-87.77709798
16051050100000,1230 N TAYLOR AVE,41.90866134,-87.7778912
16051050110000,1228 N TAYLOR AVE,41.90856972,-87.77790609
16051050120000,1226 N TAYLOR AVE,41.90847653,-87.77790396
16051050130000,1224 N TAYLOR AVE,41.90838774,-87.77788418
16051050140000,1220 N TAYLOR AVE,41.90829033,-87.77788502
16051050150000,1218 N TAYLOR AVE,41.90820165,-87.77788873
16051050160000,1216 N TAYLOR AVE,41.90809993,-87.77787492
16051050170000,1212 N TAYLOR AVE,41.90801987,-87.77785565
16051050180000,1233 N HUMPHREY AVE,41.90867075,-87.77716048
16051050190000,1229 N HUMPHREY AVE,41.90857372,-87.77718716
16051050200000,1227 N HUMPHREY AVE,41.90848828,-87.77719025
16051050210000,1223 N HUMPHREY AVE,41.90838664,-87.77719407
16051050220000,1221 N HUMPHREY AVE,41.90829579,-87.77721248
16051050230000,1219 N HUMPHREY AVE,41.90820057,-87.77720156
16051050240000,1215 N HUMPHREY AVE,41.90811388,-87.77720525
16051050250000,1213 N HUMPHREY AVE,41.90801883,-87.77722898
16051050260000,52 LE MOYNE PKWY,41.90771733,-87.77799453
16051050270000,48 LE MOYNE PKWY,41.90774708,-87.77786095
16051050280000,46 LE MOYNE PKWY,41.90773571,-87.77772479
16051050290000,42 LE MOYNE PKWY,41.90773933,-87.77759731
16051050300000,40 LE MOYNE PKWY,41.90772127,-87.77746943
16051050310000,38 LE MOYNE PKWY,41.90772738,-87.77734193
16051050320000,34 LE MOYNE PKWY,41.9077569,-87.77721422
16051050330000,30 LE MOYNE PKWY,41.90775622,-87.7770721
16051050340000,6041 W NORTH AVE,41.90902531,-87.77763022
16051050350000,6039 W NORTH AVE,41.90901683,-87.77757507
16051050370000,6045 W NORTH AVE,41.90902693,-87.77777367
16051050380000,6049 W NORTH AVE,41.90894743,-87.77795803
16051060110000,1230 N HUMPHREY AVE,41.90868351,-87.77657773
16051060120000,1228 N HUMPHREY AVE,41.9085863,-87.77656977
16051060130000,1226 N HUMPHREY AVE,41.90849537,-87.77657056
16051060140000,1224 N HUMPHREY AVE,41.90839796,-87.77657141
16051060150000,1220 N HUMPHREY AVE,41.90830694,-87.77655458
16051060160000,1218 N HUMPHREY AVE,41.90820944,-87.77653839
16051060170000,1216 N HUMPHREY AVE,41.90811219,-87.77652162
16051060180000,1214 N HUMPHREY AVE,41.90802126,-87.77652241
16051060190000,1532 N AUSTIN BLVD,41.90863444,-87.77593126
16051060200000,1526 N AUSTIN BLVD,41.90849868,-87.77591801
16051060220000,1522 N AUSTIN BLVD,41.90830533,-87.7759391
16051060230000,1520 N AUSTIN BLVD,41.90821436,-87.77593108
16051060240000,1516 N AUSTIN BLVD,41.90813498,-87.77587771
16051060250000,1514 N AUSTIN BLVD,41.9080313,-87.77592207
16051060260000,24 LE MOYNE PKWY,41.90773643,-87.77666408
16051060270000,22 LE MOYNE PKWY,41.90772911,-87.77654257
16051060280000,12 LE MOYNE PKWY,41.90772818,-87.7763511
16051060290000,10 LE MOYNE PKWY,41.90775346,-87.77616823
16051060300000,8 LE MOYNE PKWY,41.9077463,-87.77602909
16051060310000,6 LE MOYNE PKWY,41.90775219,-87.77590747
16051060330000,6011 W NORTH AVE,41.90898487,-87.77632615
16051060340000,2 LE MOYNE PKWY,41.90773204,-87.77575964
16051070010000,1140 EDMER AVE,41.9071474,-87.78434011
16051070020000,1136 EDMER AVE,41.90705672,-87.78434089
16051070030000,1132 EDMER AVE,41.90695937,-87.78435463
16051070040000,1130 EDMER AVE,41.90683601,-87.78434747
16051070050000,1126 EDMER AVE,41.90675155,-87.78434819
16051070060000,1122 EDMER AVE,41.90662819,-87.78434044
16051070070000,1120 EDMER AVE,41.90651126,-87.78432382
16051070080000,1116 EDMER AVE,41.90638175,-87.78438601
16051070090000,1112 EDMER AVE,41.90623892,-87.78436962
16051070100000,1110 EDMER AVE,41.90611551,-87.78435364
16051070110000,1106 EDMER AVE,41.90597911,-87.78432838
16051070120000,1100 EDMER AVE,41.90586227,-87.78432938
16051070130000,1141 N RIDGELAND AVE,41.90717692,-87.78368735
16051070140000,1139 N RIDGELAND AVE,41.9070536,-87.7836884
16051070150000,1131 N RIDGELAND AVE,41.90689758,-87.78367723
16051070160000,1127 N RIDGELAND AVE,41.90673531,-87.78366159
16051070170000,1123 N RIDGELAND AVE,41.90661838,-87.78364497
16051070180000,1119 N RIDGELAND AVE,41.90651458,-87.78366348
16051070210000,1111 N RIDGELAND AVE,41.90615732,-87.78361427
16051070220000,1107 N RIDGELAND AVE,41.90602761,-87.783633
16051070230000,1101 N RIDGELAND AVE,41.90591105,-87.7836945
16051070250000,1115 N RIDGELAND AVE,41.90630664,-87.78363061
16051080010000,1138 N RIDGELAND AVE,41.90718001,-87.78297911
16051080020000,1134 N RIDGELAND AVE,41.90707626,-87.78300942
16051080030000,1132 N RIDGELAND AVE,41.90697237,-87.78301031
16051080040000,1128 N RIDGELAND AVE,41.90684896,-87.78299375
16051080050000,1122 N RIDGELAND AVE,41.90672564,-87.78299481
16051080060000,1120 N RIDGELAND AVE,41.90662184,-87.78301332
16051080070000,1118 N RIDGELAND AVE,41.90653734,-87.78300524
16051080080000,1114 N RIDGELAND AVE,41.90642033,-87.78297159
16051080090000,1112 N RIDGELAND AVE,41.9062708,-87.7829118
16051080100000,1108 N RIDGELAND AVE,41.90616044,-87.78291274
16051080110000,1104 N RIDGELAND AVE,41.90606303,-87.78291358
16051080120000,1100 N RIDGELAND AVE,41.90595274,-87.78293215
16051080130000,1137 N HARVEY AVE,41.90718996,-87.78235294
