building_id,address,district,zone,unit_type,bucket,units,n_pins,classes,units_source,yrblt,yr_source,excluded,exclude_reason,yr_predecessor,lat,lon
16184210160000,1136 S ELMWOOD AVE,Rest of Oak Park,R-4,small_mf,small_mf,2.0,1,211,char_apts,1909.0,char_yrblt,False,,,41.86760634208609,-87.78491329818222
16184220050000,1160 S OAK PARK AVE,Rest of Oak Park,R-7,large_mf,large_mf,26.0,2,315,commval_2023,1925.0,commval,False,,,41.86655899609812,-87.79345073562138
16184220070000,1170 S OAK PARK AVE,Rest of Oak Park,R-7,large_mf,large_mf,26.0,2,315,commval_2023,1925.0,commval,False,,,41.86625032932466,-87.79344070573076
16184220090000,1176 S OAK PARK AVE,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1913.0,char_yrblt,False,,,41.86597599916315,-87.79343185041292
16184220100000,1180 S OAK PARK AVE,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1923.0,char_yrblt,False,,,41.865845736441955,-87.79342758898514
16184220110000,1182 S OAK PARK AVE,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1923.0,char_yrblt,False,,,41.86577368881317,-87.79342525802161
16184220120000,1184 S OAK PARK AVE,Rest of Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1924.0,char_yrblt,False,,,41.865701668642906,-87.79342292683954
16184240200000,1161 CLARENCE AVE 2,Rest of Oak Park,R-4,small_mf,small_mf,2.0,1,211,char_apts,1919.0,char_yrblt,False,,,41.86655671339883,-87.79049120120314
16184240360000,6636 ROOSEVELT RD,Rest of Oak Park,RR,small_mf,small_mf,3.0,1,212,char_apts,1913.0,char_yrblt,False,,,41.86547505032615,-87.79072748289317
16184250390000,6600 ROOSEVELT RD,Rest of Oak Park,RR,small_mf,small_mf,2.0,1,212,char_apts,1910.0,char_yrblt,False,,,41.865583715430176,-87.78912383451026
16184260420000,1153 S SCOVILLE AVE,Rest of Oak Park,R-4,small_mf,small_mf,2.0,1,211,char_apts,1911.0,char_yrblt,False,,,41.866948443370106,-87.78805061703409
16184270300000,1175 GUNDERSON AVE,Rest of Oak Park,R-4,small_mf,small_mf,3.0,1,211,char_apts,1898.0,char_yrblt,False,,,41.866137693323765,-87.78679499889815
1618428043,6436 ROOSEVELT RD,Rest of Oak Park,RR,condo,large_mf,126.0,126,299,class_rule,2004.0,condo_chars_newbuild,False,,,41.86556216779647,-87.78581030701682
16071280070000,921 LAKE ST,Ridgeland - Oak Park,R-7,large_mf,large_mf,21.0,1,315,commval_2023,1930.0,commval,False,,,41.88827324752977,-87.79821999585633
16071280240000,109 N KENILWORTH AVE,Ridgeland - Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1908.0,char_yrblt,False,,,41.88763220275762,-87.7973869121264
16071280250000,109 N KENILWORTH AVE,Ridgeland - Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1908.0,char_yrblt,False,,,41.887570505683506,-87.79738551832938
1607128034,949 LAKE ST,Ridgeland - Oak Park,R-7,condo,large_mf,26.0,26,299,class_rule,1915.0,condo_chars,False,,,41.88827175738509,-87.79942094726601
16071280360000,101 N KENILWORTH AVE,Ridgeland - Oak Park,R-7,small_mf,small_mf,2.0,1,211,char_apts,1906.0,char_yrblt,False,,,41.88735560802116,-87.79738062879119
16071290120000,861 LAKE ST,Ridgeland - Oak Park,R-7,large_mf,large_mf,63.00000000000001,3,390|391,commval_2023,1926.0,commval,False,,,41.88837029245199,-87.7966548573848
16071290130000,835 LAKE ST,Ridgeland - Oak Park,R-7,large_mf,large_mf,172.0,2,391,estimate_av/class,2023.0,class_history,False,,,41.88826187951525,-87.79608153105579
16071290230000,115 N OAK PARK AVE,Ridgeland - Oak Park,DT-2,large_mf,large_mf,4.0,1,318,commval_2023,1902.0,commval,False,,,41.88786792586342,-87.79489205965385
16071290240000,113 N OAK PARK AVE,Ridgeland - Oak Park,DT-2,small_mf,small_mf,5.0,1,212,char_apts,1904.0,char_yrblt,False,,,41.88779914635119,-87.79489022951977
16071290250000,109 N OAK PARK AVE,Ridgeland - Oak Park,DT-2,small_mf,small_mf,6.0,1,212,char_apts,1904.0,char_yrblt,False,,,41.887695976733816,-87.79488749916175
1607129034,813 LAKE ST,Ridgeland - Oak Park,R-7,condo,large_mf,45.0,45,299,class_rule,1915.0,condo_chars,False,,,41.888257674886766,-87.79540401292853
1607129036,812 NORTH BLVD,Ridgeland - Oak Park,DT-2,condo,large_mf,8.0,8,299,class_rule,1916.0,condo_chars,False,,,41.88748963714799,-87.79488203170477
16072230220000,400 LAKE ST,Ridgeland - Oak Park,NC,small_mf,small_mf,6.0,1,212,char_apts,1916.0,char_yrblt,False,,,41.88855691704177,-87.78495586789703
1607223027,135 N RIDGELAND AVE,Ridgeland - Oak Park,R-7,condo,large_mf,9.0,9,299,class_rule,1913.0,condo_chars,False,,,41.88884716418286,-87.78505117559632
1607223028,147 N RIDGELAND AVE,Ridgeland - Oak Park,R-2,condo,large_mf,10.0,10,299,class_rule,1909.0,condo_chars,False,,,41.88924449448827,-87.78518715692857
16072240010000,136 N OAK PARK AVE,Ridgeland - Oak Park,DT-2,large_mf,large_mf,59.0,1,318,commval_2023,1905.0,commval,False,,,41.888368014453505,-87.79421525478574
1607224028,125 N EUCLID AVE,Ridgeland - Oak Park,DT-2,condo,large_mf,25.0,25,299,class_rule,,conversion_year_unknown,False,,,41.88835834998956,-87.79310809921833
16072250920000,675 LAKE ST,Ridgeland - Oak Park,R-7,large_mf,large_mf,125.0,1,391,commval_2023,1986.0,commval,False,,,41.88828713314936,-87.79203674694423
16073000040000,1133 SOUTH BLVD,Ridgeland - Oak Park,R-7,small_mf,small_mf,3.0,1,211,char_apts,1906.0,char_yrblt,False,,,41.88626249705942,-87.80441380438818
16073000050000,111 S MAPLE AVE 1,Ridgeland - Oak Park,R-7,small_mf,small_mf,4.0,1,211,char_apts,1888.0,char_yrblt,False,,,41.886144341428064,-87.80452962108366
