bg_geoid,n_parcels,units,n_buildings_res,units_sf,bldgs_sf,units_small_mf,bldgs_small_mf,units_large_mf,bldgs_large_mf,units_estimated,units_large_mf_estmin,units_estmin,share_sf,share_small_mf,share_large_mf,category,category_sf100,category_sf90,category_estmin,HOUSING20,POP20
170318130005,228,264.0,210,208.0,208,0.0,0,56.0,2,0.0,56.0,264.0,0.7879,0.0,0.2121,mixed,mixed,mixed,mixed,221,710
170318131001,213,539.0,141,102.0,102,94.0,25,343.0,14,0.0,343.0,539.0,0.1892,0.1744,0.6364,large_mf_7plus,large_mf_7plus,large_mf_7plus,large_mf_7plus,536,981
170318131002,303,432.0,256,212.0,212,94.0,37,125.99999999999999,7,0.0,125.99999999999999,432.0,0.4907,0.2176,0.2917,mixed,mixed,mixed,mixed,425,966
170318131003,275,273.0,253,241.0,241,32.0,12,0.0,0,0.0,0.0,273.0,0.8828,0.1172,0.0,mixed,mixed,mixed,mixed,262,748
170318131004,292,304.0,186,164.0,164,37.0,15,103.0,7,0.0,103.0,304.0,0.5395,0.1217,0.3388,mixed,mixed,mixed,mixed,270,607
170318131005,582,574.0,416,399.0,399,34.0,15,141.0,2,0.0,141.0,574.0,0.6951,0.0592,0.2456,mixed,mixed,mixed,mixed,509,1376
170318132001,250,376.0,170,144.0,144,56.0,21,176.0,5,0.0,176.0,376.0,0.383,0.1489,0.4681,mixed,mixed,mixed,mixed,373,837
170318132002,263,306.0,224,200.0,200,45.0,21,61.0,3,0.0,61.0,306.0,0.6536,0.1471,0.1993,mixed,mixed,mixed,mixed,345,860
170318132003,265,323.0,222,200.0,200,66.0,19,57.0,3,0.0,57.0,323.0,0.6192,0.2043,0.1765,mixed,mixed,mixed,mixed,306,833
170318132004,307,402.0,250,226.0,226,46.0,15,130.0,9,7.0,130.0,402.0,0.5622,0.1144,0.3234,mixed,mixed,mixed,mixed,388,954
170318132005,412,360.0,341,325.0,325,35.0,16,0.0,0,0.0,0.0,360.0,0.9028,0.0972,0.0,mixed,mixed,single_family,mixed,358,1098
