building_id,units,n_pins,bucket,unit_type,lat,lon,address,classes
16051000130000,1.0,1,sf,sf_detached,41.90857336738732,-87.78436278420443,1234 EDMER AVE,203
16051000140000,1.0,1,sf,sf_detached,41.908463662624925,-87.78435905876768,1230 EDMER AVE,204
16051000150000,1.0,1,sf,sf_detached,41.90835392994816,-87.7843553159093,1226 EDMER AVE,204
16051000160000,1.0,1,sf,sf_detached,41.90824419709358,-87.78435157101202,1222 EDMER AVE,204
16051000170000,1.0,1,sf,sf_detached,41.90813446486269,-87.7843478455263,1220 EDMER AVE,204
16051000180000,1.0,1,sf,sf_detached,41.90802473200367,-87.78434410064085,1216 EDMER AVE,204
16051000190000,1.0,1,sf,sf_detached,41.90791497230927,-87.7843403404308,1212 EDMER AVE,204
16051000200000,1.0,1,sf,sf_detached,41.90780523944903,-87.78433659614817,1210 EDMER AVE,204
16051000210000,1.0,1,sf,sf_detached,41.90769550720667,-87.78433287067224,1206 EDMER AVE,204
16051000220000,1.0,1,sf,sf_detached,41.90758577451781,-87.78432914527758,1204 EDMER AVE,205
16051000230000,1.0,1,sf,sf_detached,41.90747337954984,-87.78432531652268,1200 EDMER AVE,206
16051000240000,1.0,1,sf,sf_detached,41.90858044267823,-87.78377670541981,1235 N RIDGELAND AVE,204
16051000250000,1.0,1,sf,sf_detached,41.90847071096839,-87.78377309119296,1231 N RIDGELAND AVE,204
16051000260000,1.0,1,sf,sf_detached,41.908360979256415,-87.78376947696773,1227 N RIDGELAND AVE,205
16051000270000,1.0,1,sf,sf_detached,41.90825124709217,-87.78376586275672,1225 N RIDGELAND AVE,206
16051000280000,1.0,1,sf,sf_detached,41.90814151492576,-87.7837622490911,1221 N RIDGELAND AVE,205
16051000290000,1.0,1,sf,sf_detached,41.90803178320735,-87.78375863382661,1217 N RIDGELAND AVE,206
16051000300000,1.0,1,sf,sf_detached,41.90792207894606,-87.78375500269522,1213 N RIDGELAND AVE,205
16051000340000,1.0,1,sf,sf_detached,41.907480515701195,-87.78374043988734,1201 N RIDGELAND AVE,206
16051000350000,1.0,1,sf,sf_detached,41.90781231868804,-87.7837513689723,1211 N RIDGELAND AVE,205
16051000360000,1.0,1,sf,sf_detached,41.90759620204197,-87.7837442503722,1205 N RIDGELAND AVE,206
16051000380000,0.0,1,none,none,41.90884121262783,-87.78455965774937,6323 NORTH AVE,517
16051000390000,0.0,1,none,none,41.90884946882659,-87.78388145601143,6315 NORTH AVE,517
16051010010000,0.0,1,none,none,41.90885998694658,-87.78301790120449,6249 NORTH AVE,522
16051010020000,0.0,1,none,none,41.90886295990321,-87.78277359026393,6211 NORTH AVE,EX
16051010030000,0.0,1,none,none,41.90886405634971,-87.7826817361546,6235 NORTH AVE,EX
16051010040000,0.0,1,none,none,41.90886520781454,-87.78258992034425,6235 NORTH AVE,EX
16051010050000,0.0,1,none,none,41.9088663042904,-87.78249810359073,6205 NORTH AVE,EX
16051010060000,0.0,1,none,none,41.90886742797568,-87.78240625041983,6235 NORTH AVE,EX
16051010070000,0.0,1,none,none,41.908868728531885,-87.78230008555548,6201 NORTH AVE,EX
16051010080000,1.0,1,sf,sf_detached,41.908590173456744,-87.78297782298898,1230 N RIDGELAND AVE,205
16051010090000,1.0,1,sf,sf_detached,41.90848044137759,-87.78297415405117,1228 N RIDGELAND AVE,203
16051010100000,1.0,1,sf,sf_detached,41.90837070857226,-87.78297048698403,1224 N RIDGELAND AVE,204
16051010110000,1.0,1,sf,sf_detached,41.90826097666507,-87.78296683738681,1222 N RIDGELAND AVE,203
16051010120000,1.0,1,sf,sf_detached,41.90815124457952,-87.78296316847201,1220 N RIDGELAND AVE,204
16051010130000,1.0,1,sf,sf_detached,41.908041512668085,-87.78295950145525,1216 N RIDGELAND AVE,203
16051010140000,1.0,1,sf,sf_detached,41.90793177967795,-87.78295583255147,1212 N RIDGELAND AVE,204
16051010150000,1.0,1,sf,sf_detached,41.90782204776512,-87.7829521658726,1210 N RIDGELAND AVE,203
16051010160000,1.0,1,sf,sf_detached,41.90771234330359,-87.7829485157748,1206 N RIDGELAND AVE,204
16051010170000,1.0,1,sf,sf_detached,41.907602610307045,-87.78294484690429,1204 N RIDGELAND AVE,204
16051010180000,1.0,1,sf,sf_detached,41.907490325949894,-87.78294109299493,1200 N RIDGELAND AVE,205
16051010190000,1.0,1,sf,sf_detached,41.90859652744142,-87.78246004673855,1231 N HARVEY AVE,204
16051010200000,1.0,1,sf,sf_detached,41.908486821733675,-87.78245628933331,1227 N HARVEY AVE,204
16051010210000,1.0,1,sf,sf_detached,41.90837708911222,-87.78245252847326,1225 N HARVEY AVE,204
16051010220000,1.0,1,sf,sf_detached,41.90826735666778,-87.7824487698008,1223 N HARVEY AVE,203
16051010230000,1.0,1,sf,sf_detached,41.908157623315105,-87.78244499332256,1221 N HARVEY AVE,204
16051010240000,1.0,1,sf,sf_detached,41.908047890866534,-87.78244123438593,1217 N HARVEY AVE,204
16051010250000,1.0,1,sf,sf_detached,41.90793815840989,-87.78243747538986,1213 N HARVEY AVE,204
16051010260000,1.0,1,sf,sf_detached,41.90782842578059,-87.78243369716535,1211 N HARVEY AVE,203
