pin,class,nbhd,mailed_bldg,mailed_land,mailed_tot,ap_lat,ap_lon,address,char_apts,char_bldg_sf,char_land_sf,char_yrblt,char_use,n_cards,lat,lon,coord_source,arcgis_name,parceltype
16051020320000,517,27030,153492,288008,441500,41.90888769,-87.78119888,6201 NORTH AVE,,,,,,,41.90887886234215,-87.78146740046121,arcgis_pin14,16051020320000,BaseParcel
16051030010000,318,27030,148400,20000,168400,41.90881133,-87.78066365,6149 NORTH AVE,,,,,,,41.90888941560456,-87.78060309532876,arcgis_pin14,16051030010000,BaseParcel
16051030020000,517,27030,99000,100000,199000,41.90901658,-87.78040127,6147 NORTH AVE,,,,,,,41.90889275404251,-87.78032757202973,arcgis_pin14,16051030020000,BaseParcel
16051030080000,205,27030,31302,7698,39000,41.90863326,-87.78051391,1230 N LOMBARD AVE,,1236.0,4528.0,1923.0,Single-Family,1.0,41.90861961901095,-87.78043531418449,arcgis_pin14,16051030080000,BaseParcel
16051030090000,205,27030,39081,7919,47000,41.90854104,-87.78050707,1228 N LOMBARD AVE,,1788.0,4658.0,1924.0,Single-Family,1.0,41.90853796270302,-87.78043252628528,arcgis_pin14,16051030090000,BaseParcel
16051030100000,204,27030,40081,7919,48000,41.90844005,-87.78048798,1226 N LOMBARD AVE,,1958.0,4658.0,1925.0,Single-Family,1.0,41.908444917512185,-87.78042934205152,arcgis_pin14,16051030100000,BaseParcel
16051030110000,206,27030,57081,7919,65000,41.90834798,-87.78046058,1224 N LOMBARD AVE,,2259.0,4658.0,1923.0,Single-Family,1.0,41.9083518727698,-87.78042615756726,arcgis_pin14,16051030110000,BaseParcel
16051030120000,204,27030,45081,7919,53000,41.90824707,-87.78045793,1220 N LOMBARD AVE,,2196.0,4658.0,1923.0,Single-Family,1.0,41.9082588277528,-87.78042297548186,arcgis_pin14,16051030120000,BaseParcel
16051030130000,204,27030,38081,7919,46000,41.90816685,-87.78045862,1218 N LOMBARD AVE,,1862.0,4658.0,1925.0,Single-Family,1.0,41.908165782734265,-87.78041979369489,arcgis_pin14,16051030130000,BaseParcel
16051030140000,203,27030,33081,7919,41000,41.90807484,-87.78044355,1216 N LOMBARD AVE,,1546.0,4658.0,1924.0,Single-Family,1.0,41.90807273754019,-87.78041660954088,arcgis_pin14,16051030140000,BaseParcel
16051030150000,204,27030,37158,7842,45000,41.90797969,-87.7804479,1212 N LOMBARD AVE,,1893.0,4613.0,1924.0,Single-Family,1.0,41.90799336102997,-87.78041391285132,arcgis_pin14,16051030150000,BaseParcel
16051030160000,205,27030,48302,7698,56000,41.90864177,-87.77985016,1231 HAYES AVE,,2048.0,4528.0,1925.0,Single-Family,1.0,41.90862334355363,-87.77987586334628,arcgis_pin14,16051030160000,BaseParcel
16051030170000,204,27030,46081,7919,54000,41.90854984,-87.77985095,1229 HAYES AVE,,2183.0,4658.0,1923.0,Single-Family,1.0,41.90854457131714,-87.77987318058575,arcgis_pin14,16051030170000,BaseParcel
16051030180000,203,27030,36081,7919,44000,41.90844894,-87.77985182,1227 HAYES AVE,,1396.0,4658.0,1923.0,Single-Family,1.0,41.908451526295835,-87.77987003396751,arcgis_pin14,16051030180000,BaseParcel
16051030190000,203,27030,36081,7919,44000,41.90835975,-87.77985259,1225 HAYES AVE,,1647.0,4658.0,1923.0,Single-Family,1.0,41.90835861874304,-87.77986688826897,arcgis_pin14,16051030190000,BaseParcel
16051030200000,204,27030,38081,7919,46000,41.90826477,-87.77984108,1221 HAYES AVE,,2009.0,4658.0,1925.0,Single-Family,1.0,41.908265573541414,-87.77986370491183,arcgis_pin14,16051030200000,BaseParcel
16051030210000,204,27030,43081,7919,51000,41.90817284,-87.77984187,1219 HAYES AVE,,2002.0,4658.0,1923.0,Single-Family,1.0,41.908172528689704,-87.77986056069614,arcgis_pin14,16051030210000,BaseParcel
16051030220000,203,27030,37081,7919,45000,41.90807756,-87.7798192,1215 HAYES AVE,,1672.0,4658.0,1923.0,Single-Family,1.0,41.90807948365919,-87.7798574143398,arcgis_pin14,16051030220000,BaseParcel
16051030230000,205,27030,33158,7842,41000,41.90799755,-87.77981167,1213 HAYES AVE,,1244.0,4613.0,1923.0,Single-Family,1.0,41.90799703246254,-87.77985461417305,arcgis_pin14,16051030230000,BaseParcel
16051030240000,206,27030,53667,8333,62000,41.90767471,-87.78059795,152 LE MOYNE PKY,,2210.0,4902.0,1925.0,Single-Family,1.0,41.90771552384723,-87.78058267491284,arcgis_pin14,16051030240000,BaseParcel
