category,n_blocks,pop_2020,hu_total,nh_white,pct_nh_white,nh_black,pct_nh_black,hispanic,pct_hispanic,nh_asian,pct_nh_asian,nh_two_plus,pct_nh_two_plus,nh_other,pct_nh_other
single_family,476.0,19449.0,6364.0,13333.0,68.6,2065.0,10.6,1673.0,8.6,876.0,4.5,1392.0,7.2,110.0,0.6
small_mf_2_6,70.0,2837.0,1243.0,1299.0,45.8,821.0,28.9,347.0,12.2,167.0,5.9,181.0,6.4,22.0,0.8
large_mf_7plus,208.0,21327.0,14124.0,11022.0,51.7,5907.0,27.7,1963.0,9.2,1379.0,6.5,929.0,4.4,127.0,0.6
mixed,206.0,10872.0,4166.0,7170.0,65.9,1374.0,12.6,1069.0,9.8,517.0,4.8,679.0,6.2,63.0,0.6
no_housing,98.0,98.0,56.0,22.0,22.4,33.0,33.7,28.0,28.6,5.0,5.1,6.0,6.1,4.0,4.1
all_blocks,1058.0,54583.0,25953.0,32846.0,60.2,10200.0,18.7,5080.0,9.3,2944.0,5.4,3187.0,5.8,326.0,0.6
