category,n_blocks,pop_2020,hu_total,nh_white,pct_nh_white,nh_black,pct_nh_black,hispanic,pct_hispanic,nh_asian,pct_nh_asian,nh_two_plus,pct_nh_two_plus,nh_other,pct_nh_other
single_family,460.0,18330.0,5944.0,12613.0,68.8,1867.0,10.2,1584.0,8.6,817.0,4.5,1343.0,7.3,106.0,0.6
small_mf_2_6,70.0,2837.0,1243.0,1299.0,45.8,821.0,28.9,347.0,12.2,167.0,5.9,181.0,6.4,22.0,0.8
large_mf_7plus,208.0,21327.0,14124.0,11022.0,51.7,5907.0,27.7,1963.0,9.2,1379.0,6.5,929.0,4.4,127.0,0.6
mixed,222.0,11991.0,4586.0,7890.0,65.8,1572.0,13.1,1158.0,9.7,576.0,4.8,728.0,6.1,67.0,0.6
no_housing,98.0,98.0,56.0,22.0,22.4,33.0,33.7,28.0,28.6,5.0,5.1,6.0,6.1,4.0,4.1
all_blocks,1058.0,54583.0,25953.0,32846.0,60.2,10200.0,18.7,5080.0,9.3,2944.0,5.4,3187.0,5.8,326.0,0.6
