category,n_blocks,pop_2020,hu_total,nh_white,pct_nh_white,nh_black,pct_nh_black,hispanic,pct_hispanic,nh_asian,pct_nh_asian,nh_two_plus,pct_nh_two_plus,nh_other,pct_nh_other
single_family,462.0,18464.0,6018.0,12678.0,68.7,1922.0,10.4,1593.0,8.6,817.0,4.4,1347.0,7.3,107.0,0.6
small_mf_2_6,68.0,2815.0,1236.0,1290.0,45.8,821.0,29.2,340.0,12.1,166.0,5.9,176.0,6.3,22.0,0.8
large_mf_7plus,211.0,21375.0,14144.0,11052.0,51.7,5907.0,27.6,1970.0,9.2,1380.0,6.5,938.0,4.4,128.0,0.6
mixed,219.0,11831.0,4499.0,7804.0,66.0,1517.0,12.8,1149.0,9.7,576.0,4.9,720.0,6.1,65.0,0.5
no_housing,98.0,98.0,56.0,22.0,22.4,33.0,33.7,28.0,28.6,5.0,5.1,6.0,6.1,4.0,4.1
all_blocks,1058.0,54583.0,25953.0,32846.0,60.2,10200.0,18.7,5080.0,9.3,2944.0,5.4,3187.0,5.8,326.0,0.6
