district,1870s,1880s,1890s,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,undated,total
Frank Lloyd Wright,7.0,51.0,92.0,132.0,178.0,544.0,59.0,18.0,140.0,308.0,165.0,31.0,2.0,2.0,0.0,0.0,0.0,1731.0
Ridgeland - Oak Park,7.0,53.0,226.0,531.0,694.0,2531.0,572.0,23.0,233.0,754.0,135.0,129.0,0.0,132.0,2.0,204.0,45.0,6275.0
Gunderson,0.0,0.0,0.0,4.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
Rest of Oak Park,2.0,14.0,94.0,272.0,793.0,2334.0,380.0,14.0,441.0,1080.0,549.0,264.0,449.0,503.0,1177.0,319.0,101.0,8788.0
